subject,usable,age,age_group,gender,version,block_num,condition,trial_num,trial_in_block,mine_prob_win_left,mine_prob_win_right,subj_choice,feedback,latent_guess,optimal_choice,choice_RT
26,1,24.93333333,Adult,0,B,1,2,1,1,0.8,0.2,1,1,0,1,0.918404818
26,1,24.93333333,Adult,0,B,1,2,2,2,0.8,0.2,1,1,0,1,1.185116053
26,1,24.93333333,Adult,0,B,1,2,3,3,0.8,0.2,1,1,0,1,1.801582098
26,1,24.93333333,Adult,0,B,1,2,4,4,0.8,0.2,1,0,0,1,0.335407019
26,1,24.93333333,Adult,0,B,1,2,5,5,0.8,0.2,1,1,0,1,0.818587065
26,1,24.93333333,Adult,0,B,1,2,6,6,0.8,0.2,1,1,0,1,0.435166121
26,1,24.93333333,Adult,0,B,1,2,7,7,0.8,0.2,1,1,0,1,0.601711035
26,1,24.93333333,Adult,0,B,1,2,8,8,0.8,0.2,1,0,1,1,0.601917028
26,1,24.93333333,Adult,0,B,1,2,9,9,0.8,0.2,1,1,1,1,0.785316944
26,1,24.93333333,Adult,0,B,1,2,10,10,0.8,0.2,1,1,0,1,0.918231964
26,1,24.93333333,Adult,0,B,1,2,11,11,0.8,0.2,1,1,0,1,0.45204711
26,1,24.93333333,Adult,0,B,1,2,12,12,0.8,0.2,1,1,0,1,0.501790047
26,1,24.93333333,Adult,0,B,1,2,13,13,0.8,0.2,1,0,0,1,1.151499033
26,1,24.93333333,Adult,0,B,1,2,14,14,0.8,0.2,1,1,0,1,0.501773834
26,1,24.93333333,Adult,0,B,1,2,15,15,0.8,0.2,1,1,0,1,0.635210037
26,1,24.93333333,Adult,0,B,1,2,16,16,0.8,0.2,1,1,0,1,0.501571894
26,1,24.93333333,Adult,0,B,1,2,17,17,0.8,0.2,1,1,0,1,0.435043097
26,1,24.93333333,Adult,0,B,1,2,18,18,0.8,0.2,1,1,0,1,0.568686962
26,1,24.93333333,Adult,0,B,1,2,19,19,0.8,0.2,1,1,0,1,0.601843119
26,1,24.93333333,Adult,0,B,1,2,20,20,0.8,0.2,1,1,0,1,0.45183301
26,1,24.93333333,Adult,0,B,1,2,21,21,0.8,0.2,1,1,0,1,0.551822901
26,1,24.93333333,Adult,0,B,1,2,22,22,0.8,0.2,1,1,0,1,0.752032995
26,1,24.93333333,Adult,0,B,1,2,23,23,0.8,0.2,1,1,0,1,0.735141039
26,1,24.93333333,Adult,0,B,1,2,24,24,0.8,0.2,1,1,0,1,0.583276987
